name,srn,cgpa,age,email,ph_no,degree,stream,gender,github_profile,leetcode_profile,mentor_name,resume
Kathy Mcclain,54a8d064-1f56-463f-bdec-4169f3fdffe1,8.27,18,catherine45@yahoo.com,(796)366-2745x00391,MBA,Electronics,Male,https://github.com/bartlettdylan,https://leetcode.com/gregorywilson,Raj,occur.pdf
Kimberly Estrada,d09c7ca3-cedf-4f33-8df1-e0d983a86a28,7.42,18,jason87@gmail.com,+1-439-405-4434x62721,M.Tech,Mechanical,Other,https://github.com/bethdennis,https://leetcode.com/hallbrittany,Vincent,charge.pdf
Bonnie Martinez,2f549efa-f6b5-4cdf-ac82-d3ede2c11266,6.74,25,thill@hotmail.com,910.462.5822x195,B.A.,Computer Science,Female,https://github.com/jenniferburns,https://leetcode.com/griffinchristopher,Greg,strategy.pdf
Kristina Ware,23436f6e-8927-4f6a-94f5-9cd499ed79ec,8.08,24,gary92@baldwin.com,001-180-565-7748x3116,M.A.,Civil,Male,https://github.com/gmoore,https://leetcode.com/lmendez,Trevor,wait.pdf
Andrew Coleman,9aedce28-4ef7-415e-bd77-aeb7bd53060c,8.96,20,andrew82@yahoo.com,919.866.6766x1870,B.S.,Computer Science,Male,https://github.com/kareen74,https://leetcode.com/marksmith,Mike,arrive.pdf
Sandra Quinn,682fc10d-e6e6-49b2-8330-b6e7f4c82a33,7.5,22,sandra92@hotmail.com,+1-594-685-2106x92134,B.Sc.,Physics,Female,https://github.com/shelby64,https://leetcode.com/davidlee,Siri,watch.pdf
Chris Nelson,276fbcdc-3f76-4cb7-99a4-1c80ed49c1f4,8.3,19,chris@yahoo.com,(506)766-3909,MBA,Mathematics,Other,https://github.com/nickie71,https://leetcode.com/charlesbrooks,Vincent,sure.pdf
Melissa James,7d4508c1-1d41-42ff-9334-bbb557a90732,9.2,21,melissa_j@gmail.com,(598)357-2964x382,PhD,Data Science,Female,https://github.com/rachelmartin,https://leetcode.com/joyce,Greg,reason.pdf
Joseph Peterson,dfd1d567-f8d1-40a6-a3a5-d0b2f53d75b5,7.4,23,joseph95@outlook.com,+1-310-588-4127x636,BBA,Accounting,Male,https://github.com/paulbrown,https://leetcode.com/johnsonmark,Raj,account.pdf
Linda Turner,c43c0f7d-d3e1-4b5e-b7df-94a2b6d4f2eb,6.9,20,lindaturner@msn.com,(634)275-1813x640,BE,Aeronautical,Female,https://github.com/clintonwill,https://leetcode.com/brooksbrown,Trevor,hold.pdf
